cohort,skill_id,skill_name,author,taxonomy_labels
popular,composiohq-awesome-claude-skills-skill-share-skill-md,skill-share,ComposioHQ,devops_infra;documentation_writing;research_analysis;integration_tools
popular,composiohq-awesome-claude-skills-slack-gif-creator-skill-md,slack-gif-creator,ComposioHQ,integration_tools
popular,composiohq-awesome-claude-skills-tailored-resume-generator-skill-md,tailored-resume-generator,ComposioHQ,coding_dev;documentation_writing;research_analysis;workflow_automation
popular,composiohq-awesome-claude-skills-twitter-algorithm-optimizer-skill-md,twitter-algorithm-optimizer,ComposioHQ,coding_dev;devops_infra;documentation_writing;workflow_automation
popular,composiohq-awesome-claude-skills-video-downloader-skill-md,youtube-downloader,ComposioHQ,domain_specific
popular,continuedev-continue-skills-cn-check-skill-md,cn-check,continuedev,coding_dev;security;documentation_writing;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agent-evaluation-skill-md,agent-evaluation,davila7,data_ml_ai;research_analysis;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agent-manager-skill-skill-md,agent-manager-skill,davila7,workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agent-memory-mcp-skill-md,agent-memory-mcp,davila7,documentation_writing;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agent-memory-systems-skill-md,agent-memory-systems,davila7,data_ml_ai;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agent-tool-builder-skill-md,agent-tool-builder,davila7,coding_dev;data_ml_ai;documentation_writing;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agents-autogpt-skill-md,autogpt-agents,davila7,coding_dev;devops_infra;data_ml_ai;research_analysis;workflow_automation;product_design;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agents-crewai-skill-md,crewai-multi-agent,davila7,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agents-langchain-skill-md,langchain,davila7,devops_infra;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-agents-llamaindex-skill-md,llamaindex,davila7,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-ai-agents-architect-skill-md,ai-agents-architect,davila7,coding_dev;data_ml_ai;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-autonomous-agent-patterns-skill-md,autonomous-agent-patterns,davila7,coding_dev;data_ml_ai;security;research_analysis;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-autonomous-agents-skill-md,autonomous-agents,davila7,coding_dev;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-behavioral-modes-skill-md,behavioral-modes,davila7,coding_dev;devops_infra;data_ml_ai;security;documentation_writing;research_analysis;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-claude-code-guide-skill-md,claude-code-guide,davila7,coding_dev;documentation_writing;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-computer-use-agents-skill-md,computer-use-agents,davila7,coding_dev;devops_infra;data_ml_ai;security;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-context-window-management-skill-md,context-window-management,davila7,coding_dev;data_ml_ai
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-context7-auto-research-skill-md,context7-auto-research,davila7,coding_dev;documentation_writing;research_analysis;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-conversation-memory-skill-md,conversation-memory,davila7,coding_dev;data_ml_ai
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-crewai-skill-md,crewai,davila7,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-data-processing-nemo-curator-skill-md,nemo-curator,davila7,devops_infra;data_ml_ai;documentation_writing;research_analysis;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-data-processing-ray-data-skill-md,ray-data,davila7,coding_dev;devops_infra;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-datadog-cli-skill-md,datadog-cli,davila7,coding_dev;documentation_writing;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-accelerate-skill-md,huggingface-accelerate,davila7,coding_dev;data_ml_ai;research_analysis;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-deepspeed-skill-md,deepspeed,davila7,coding_dev;devops_infra;data_ml_ai;documentation_writing;research_analysis;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-megatron-core-skill-md,training-llms-megatron,davila7,devops_infra;data_ml_ai;research_analysis;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-pytorch-fsdp-skill-md,pytorch-fsdp,davila7,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-pytorch-lightning-skill-md,pytorch-lightning,davila7,coding_dev;data_ml_ai;research_analysis;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-ray-train-skill-md,ray-train,davila7,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-emerging-techniques-knowledge-distillation-skill-md,knowledge-distillation,davila7,coding_dev;data_ml_ai;research_analysis;integration_tools
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-emerging-techniques-long-context-skill-md,long-context,davila7,coding_dev;devops_infra;data_ml_ai;research_analysis;workflow_automation
popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-emerging-techniques-model-merging-skill-md,model-merging,davila7,coding_dev;devops_infra;data_ml_ai;research_analysis;workflow_automation;integration_tools
